listing_id,title,category,price_fcfa,currency,neighborhood,city_region,bedrooms,surface_m2,date_posted_raw,url
6706003,Villa R+2 à vendre aux Almadies Titre Foncier,Maisons à vendre,330000000.0,XOF,Almadies,Dakar,5.0,314.0,"Aujourd'hui, 17:24",https://www.expat-dakar.com/annonce/villa-r2-a-vendre-aux-almadies-titre-foncier-6706003
6827403,Votre futur logement écologique à Bambilor,Maisons à vendre,40000000.0,XOF,Bambilor,Dakar,3.0,250.0,"Aujourd'hui, 12:25",https://www.expat-dakar.com/annonce/votre-futur-logement-ecologique-a-bambilor-6827403
6736189,Villa à vendre R+3 à Sicap Keur Massar,Maisons à vendre,160000000.0,XOF,Keur Massar,Dakar,5.0,250.0,"26. mai, 15:10",https://www.expat-dakar.com/annonce/villa-a-vendre-r3-a-sicap-keur-massar-6736189
6827681,Maison à Vendre aux Parcelles Assainies Unité 11,Maisons à vendre,60000000.0,XOF,Parcelles Assainies,Dakar,7.0,200.0,"Aujourd'hui, 20:08",https://www.expat-dakar.com/annonce/maison-a-vendre-aux-parcelles-assainies-unite-11-6827681
6827149,Villa à vendre cité ALIOU SOW,Maisons à vendre,120000000.0,XOF,Golf,Dakar,3.0,150.0,"Hier, 22:04",https://www.expat-dakar.com/annonce/villa-a-vendre-cite-aliou-sow-6827149
6752266,Villa à vendre,Maisons à vendre,70000000.0,XOF,Mbao,Dakar,8.0,250.0,"Hier, 15:55",https://www.expat-dakar.com/annonce/villa-a-vendre-6752266
6826922,Villa basse de 370m2 à vendre a liberté 6,Maisons à vendre,260000000.0,XOF,Liberte 6,Dakar,4.0,370.0,"Hier, 13:25",https://www.expat-dakar.com/annonce/villa-basse-de-370m2-a-vendre-a-liberte-6-6826922
6826532,IMMEUBLE R+1 A FINIR EN VENTE A LA CITE TACO RUFISQUE,Maisons à vendre,90000000.0,XOF,Rufisque,Dakar,5.0,250.0,"Hier, 09:01",https://www.expat-dakar.com/annonce/immeuble-r1-a-finir-en-vente-a-la-cite-taco-rufisque-6826532
6823604,À vendre une villa R+1 à Zac Mbao,Maisons à vendre,90000000.0,XOF,Mbao,Dakar,4.0,150.0,"mercredi, 21:50",https://www.expat-dakar.com/annonce/a-vendre-une-villa-r1-a-zac-mbao-6823604
6678386,Maison de 100m² a vendre somone,Maisons à vendre,52000000.0,XOF,Somone,Thiès,2.0,100.0,"mercredi, 10:20",https://www.expat-dakar.com/annonce/maison-de-100m2-a-vendre-somone-6678386
6813721,Villa d’angle neuve à vendre aux Almadies,Maisons à vendre,700000000.0,XOF,Almadies,Dakar,7.0,300.0,"mercredi, 09:16",https://www.expat-dakar.com/annonce/villa-dangle-neuve-a-vendre-aux-almadies-6813721
6288767,Villa F4 en location vente sur 10 ans à Ndiakhirate,Maisons à vendre,45000000.0,XOF,Ndiakhirate,Dakar,3.0,250.0,"mardi, 16:16",https://www.expat-dakar.com/annonce/villa-f4-en-location-vente-sur-10-ans-a-ndiakhirate-6288767
6283039,Ref_6190_GL Villa à vendre à Ngor,Maisons à vendre,385000000.0,XOF,Ngor,Dakar,5.0,500.0,"lundi, 17:05",https://www.expat-dakar.com/annonce/ref-6190-gl-villa-a-vendre-a-ngor-6283039
6663574,Villa à vendre à Keur Massar,Maisons à vendre,110000000.0,XOF,Keur Massar,Dakar,5.0,150.0,"lundi, 13:48",https://www.expat-dakar.com/annonce/villa-a-vendre-a-keur-massar-6663574
