listing_id,title,category,price_fcfa,currency,neighborhood,city_region,bedrooms,surface_m2,date_posted_raw,url
6706003,Villa R+2 à vendre aux Almadies Titre Foncier,Maisons à vendre,330000000.00,XOF,Almadies,Dakar,5,314,"Aujourd'hui, 17:24",https://www.expat-dakar.com/annonce/villa-r2-a-vendre-aux-almadies-titre-foncier-6706003
6827403,Votre futur logement écologique à Bambilor,Maisons à vendre,40000000.00,XOF,Bambilor,Dakar,3,,"Aujourd'hui, 12:25",https://www.expat-dakar.com/annonce/votre-futur-logement-ecologique-a-bambilor-6827403
6736189,Villa à vendre R+3 à Sicap Keur Massar,Maisons à vendre,160000000.00,XOF,Keur Massar,Dakar,,,"26. mai, 15:10",https://www.expat-dakar.com/annonce/villa-a-vendre-r3-a-sicap-keur-massar-6736189
6827681,Maison à Vendre aux Parcelles Assainies Unité 11,Maisons à vendre,60000000.00,XOF,Parcelles Assainies,Dakar,7,200,"Aujourd'hui, 20:08",https://www.expat-dakar.com/annonce/maison-a-vendre-aux-parcelles-assainies-unite-11-6827681
6827149,Villa à vendre cité ALIOU SOW,Maisons à vendre,120000000.00,XOF,Golf,Dakar,3,150,"Hier, 22:04",https://www.expat-dakar.com/annonce/villa-a-vendre-cite-aliou-sow-6827149
6827050,Immeuble luxueux à vendre,Maisons à vendre,1800000000.00,XOF,Almadies,Dakar,24,605,"Hier, 17:07",https://www.expat-dakar.com/annonce/immeuble-luxueux-a-vendre-6827050
6752266,Villa à vendre,Maisons à vendre,70000000.00,XOF,Mbao,Dakar,8,250,"Hier, 15:55",https://www.expat-dakar.com/annonce/villa-a-vendre-6752266
6826922,Villa basse de 370m2 à vendre a liberté 6,Maisons à vendre,260000000.00,XOF,Liberte 6,Dakar,4,370,"Hier, 13:25",https://www.expat-dakar.com/annonce/villa-basse-de-370m2-a-vendre-a-liberte-6-6826922
6826532,IMMEUBLE R+1 A FINIR EN VENTE A LA CITE TACO RUFISQUE,Maisons à vendre,90000000.00,XOF,Rufisque,Dakar,,,"Hier, 09:01",https://www.expat-dakar.com/annonce/immeuble-r1-a-finir-en-vente-a-la-cite-taco-rufisque-6826532
6826521,R+8 Immeuble À vendre/VDN,Maisons à vendre,1300000000.00,XOF,Liberte 6 extension,Dakar,32,250,"mercredi, 21:54",https://www.expat-dakar.com/annonce/r8-immeuble-a-vendrevdn-6826521
6823604,À vendre une villa R+1 à Zac Mbao,Maisons à vendre,90000000.00,XOF,Mbao,Dakar,4,150,"mercredi, 21:50",https://www.expat-dakar.com/annonce/a-vendre-une-villa-r1-a-zac-mbao-6823604
6678386,Maison de 100m² a vendre somone,Maisons à vendre,52000000.00,XOF,Somone,Thiès,2,100,"mercredi, 10:20",https://www.expat-dakar.com/annonce/maison-de-100m2-a-vendre-somone-6678386
6813721,Villa d’angle neuve à vendre aux Almadies,Maisons à vendre,700000000.00,XOF,Almadies,Dakar,7,300,"mercredi, 09:16",https://www.expat-dakar.com/annonce/villa-dangle-neuve-a-vendre-aux-almadies-6813721
6288767,Villa F4 en location vente sur 10 ans à Ndiakhirate,Maisons à vendre,45000000.00,XOF,Ndiakhirate,Dakar,3,,"mardi, 16:16",https://www.expat-dakar.com/annonce/villa-f4-en-location-vente-sur-10-ans-a-ndiakhirate-6288767
6283039,Ref_6190_GL Villa à vendre à Ngor,Maisons à vendre,385000000.00,XOF,Ngor,Dakar,,500,"lundi, 17:05",https://www.expat-dakar.com/annonce/ref-6190-gl-villa-a-vendre-a-ngor-6283039
6820274,Ref_6198_GL Villa de 214 m² à vendre à la cité Horizon,Maisons à vendre,350000.00,XOF,VDN,Dakar,4,214,"lundi, 17:05",https://www.expat-dakar.com/annonce/ref-6198-gl-villa-de-214-m2-a-vendre-a-la-cite-horizon-6820274
6663574,Villa à vendre à Keur Massar,Maisons à vendre,110000000.00,XOF,Keur Massar,Dakar,,150,"lundi, 13:48",https://www.expat-dakar.com/annonce/villa-a-vendre-a-keur-massar-6663574
6825162,Villa à vendre à NGUERIGNE,Maisons à vendre,125000000.00,XOF,Nguering,Thiès,4,500,"lundi, 12:55",https://www.expat-dakar.com/annonce/villa-a-vendre-a-nguerigne-6825162
6590552,Cite fadia commercialle sur la route de BRT R+3,Maisons à vendre,350000000.00,XOF,Golf,Dakar,,,"lundi, 11:09",https://www.expat-dakar.com/annonce/cite-fadia-commercialle-sur-la-route-de-brt-r3-6590552
6707664,villa à Saly – en face de Diambar à vendre,Maisons à vendre,320000000.00,XOF,Saly,Thiès,,,"28. juil., 09:24",https://www.expat-dakar.com/annonce/villa-a-saly-en-face-de-diambar-a-vendre-6707664
6824790,Villa a vendre r+3  mamelles,Maisons à vendre,160000000.00,XOF,Mamelles,Dakar,5,160,"lundi, 08:35",https://www.expat-dakar.com/annonce/villa-a-vendre-r3-mamelles-6824790
6366001,De belles villas à vendre à Sacré Cœur Vdn,Maisons à vendre,80000000.00,XOF,VDN,Dakar,5,175,"dimanche, 23:41",https://www.expat-dakar.com/annonce/de-belles-villas-a-vendre-a-sacre-coeur-vdn-6366001
6812421,Villa a vendre ouakam cite assemblée nationale,Maisons à vendre,70000000.00,XOF,Ouakam,Dakar,4,100,"samedi, 13:10",https://www.expat-dakar.com/annonce/villa-a-vendre-ouakam-cite-assemblee-nationale-6812421
6601718,Villa à vendre à la SICAP Liberté 1,Maisons à vendre,310000000.00,XOF,Sicap Liberté,Dakar,,323,"vendredi, 17:15",https://www.expat-dakar.com/annonce/villa-a-vendre-a-la-sicap-liberte-1-6601718
6807976,A vendre Villa a Nord Foire,Maisons à vendre,250000000.00,XOF,Nord foire,Dakar,7,354,"vendredi, 15:08",https://www.expat-dakar.com/annonce/a-vendre-villa-a-nord-foire-6807976
6823869,MAISON R+1 CITE ASECNA YEUMBEUL,Maisons à vendre,70000000.00,XOF,Yeumbeul,Dakar,10,170,"vendredi, 12:28",https://www.expat-dakar.com/annonce/maison-r1-cite-asecna-yeumbeul-6823869
6753039,32000000,Maisons à vendre,32000000.00,XOF,Tivaouane peulh,Dakar,3,150,"vendredi, 04:12",https://www.expat-dakar.com/annonce/32000000-6753039
6783739,Belle Villa À Vendre/VDN,Maisons à vendre,350000000.00,XOF,Ouest foire,Dakar,6,255,"dimanche, 14:33",https://www.expat-dakar.com/annonce/belle-villa-a-vendrevdn-6783739
6823585,Maison 320m2 angle a vendre au virage,Maisons à vendre,320000000.00,XOF,Virage,Dakar,5,320,"jeudi, 20:51",https://www.expat-dakar.com/annonce/maison-320m2-angle-a-vendre-au-virage-6823585
6823581,Maison habitable ou terrain 1100m2,Maisons à vendre,1100000000.00,XOF,Virage,Dakar,5,1100,"mercredi, 10:56",https://www.expat-dakar.com/annonce/maison-habitable-ou-terrain-1100m2-6823581
6823493,Ref_9080_GL — Villas F5 à vendre à Saly Gandigal,Maisons à vendre,150000000.00,XOF,Saly,Thiès,3,400,"jeudi, 16:20",https://www.expat-dakar.com/annonce/ref-9080-gl-villas-f5-a-vendre-a-saly-gandigal-6823493
6823269,Belle Villa à vendre à la Cité Tobago VDN,Maisons à vendre,300000000.00,XOF,VDN,Dakar,4,250,"jeudi, 11:49",https://www.expat-dakar.com/annonce/belle-villa-a-vendre-a-la-cite-tobago-vdn-6823269
6779298,Villa R+1 Angle en vente a Sicap liberté 3,Maisons à vendre,125000000.00,XOF,Sicap Liberté,Dakar,5,120,"jeudi, 10:28",https://www.expat-dakar.com/annonce/villa-r1-angle-en-vente-a-sicap-liberte-3-6779298
6822962,Maison à vendre,Maisons à vendre,75000000.00,XOF,Bambilor,Dakar,3,239,"jeudi, 08:50",https://www.expat-dakar.com/annonce/maison-a-vendre-6822962
6822624,Maison R+1 à vendre à Zac Mbao,Maisons à vendre,90000000.00,XOF,Zac Mbao,Dakar,,200,"mercredi, 12:10",https://www.expat-dakar.com/annonce/maison-r1-a-vendre-a-zac-mbao-6822624
6821623,Villa à démolir à vendre à la Sicap Baobap,Maisons à vendre,290000000.00,XOF,Sicap baobab,Dakar,,339,"mardi, 17:06",https://www.expat-dakar.com/annonce/villa-a-demolir-a-vendre-a-la-sicap-baobap-6821623
6720358,Villa TF individuel à vendre,Maisons à vendre,35000000.00,XOF,Mbao,Dakar,2,150,"mardi, 16:24",https://www.expat-dakar.com/annonce/villa-tf-individuel-a-vendre-6720358
6637555,MAISON A VENDRE SOMONE EXTENSION,Maisons à vendre,160000000.00,XOF,Somone,Thiès,5,280,"mardi, 16:21",https://www.expat-dakar.com/annonce/maison-a-vendre-somone-extension-6637555
6335999,Maison à vendre,Maisons à vendre,37000000.00,XOF,Mbao,Dakar,4,168,"mardi, 16:21",https://www.expat-dakar.com/annonce/maison-a-vendre-6335999
6677519,Vaste villa à vendre Sindia,Maisons à vendre,35000000.00,XOF,Sindia,Thiès,3,400,"mardi, 16:03",https://www.expat-dakar.com/annonce/vaste-villa-a-vendre-sindia-6677519
6534511,VILLA R+1 à Vendre  253 mètre carré Cité Al bazar Zac mbaw,Maisons à vendre,155000000.00,XOF,Zac Mbao,Dakar,7,253,"lundi, 21:23",https://www.expat-dakar.com/annonce/villa-r1-a-vendre-253-metre-carre-cite-al-bazar-zac-mbaw-6534511
6783019,Villa à  vendre à  ZAC Mbao,Maisons à vendre,95000000.00,XOF,Zac Mbao,Dakar,,,"lundi, 17:24",https://www.expat-dakar.com/annonce/villa-a-vendre-a-zac-mbao-6783019
6783050,Villa à vendre à Zac Mbao,Maisons à vendre,66000000.00,XOF,Zac Mbao,Dakar,,,"lundi, 17:24",https://www.expat-dakar.com/annonce/villa-a-vendre-a-zac-mbao-6783050
6713132,IMMEUBLE NEUF R+8 AVEC SOUS-SOL À VENDRE – NGOR / ALMADIES,Maisons à vendre,1100000000.00,XOF,Dakar,Dakar,5,276,"lundi, 16:51",https://www.expat-dakar.com/annonce/immeuble-neuf-r8-avec-sous-sol-a-vendre-ngor-almadies-6713132
6713091,IMMEUBLE NEUF R+5 DE LUXE AUX ALMADIES – OPPORTUNITÉ UNIQUE,Maisons à vendre,730000000.00,XOF,Almadies,Dakar,3,200,"lundi, 16:51",https://www.expat-dakar.com/annonce/immeuble-neuf-r5-de-luxe-aux-almadies-opportunite-unique-6713091
